checking_status,duration,credit_history,credit_amount,savings,employment,installment_rate,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,default,purpose_grouped
0_200,48,existing_paid,8487,unknown,4_7,1,female_divorced_separated_married,none,2,car_or_other,24,none,own,1,skilled_official,1,none,yes,good,Vehicles
less_0,36,delay,6887,less_100,1_4,4,male_single,none,3,building_society_savings_life_insurance,29,stores,own,1,skilled_official,1,yes,yes,bad,Investment/Development
no_account,15,existing_paid,2708,less_100,less_1,2,male_single,none,3,building_society_savings_life_insurance,27,bank,own,2,unskilled_resident,1,none,yes,good,Home
no_account,18,existing_paid,1984,less_100,1_4,4,male_single,none,4,unknown_no_property,47,bank,for_free,2,skilled_official,1,none,yes,good,Home
no_account,60,existing_paid,10144,100_500,4_7,2,female_divorced_separated_married,none,4,real_estate,21,none,own,1,skilled_official,1,yes,yes,good,Home
no_account,12,critical_other,1240,unknown,greater_7,4,female_divorced_separated_married,none,2,real_estate,38,none,own,2,skilled_official,1,yes,yes,good,Home
no_account,27,delay,8613,greater_1000,1_4,2,male_single,none,2,car_or_other,27,none,own,2,skilled_official,1,none,yes,good,Vehicles
0_200,12,existing_paid,766,500_1000,1_4,4,male_single,none,3,real_estate,66,none,own,1,unskilled_resident,1,none,yes,bad,Home
0_200,15,critical_other,2728,unknown,4_7,4,male_single,guarantor,2,real_estate,35,bank,own,3,skilled_official,1,yes,yes,good,Home
greater_200,12,existing_paid,1881,less_100,1_4,2,female_divorced_separated_married,none,2,car_or_other,44,none,rent,1,unskilled_resident,1,yes,yes,good,Home
greater_200,6,existing_paid,709,greater_1000,less_1,2,male_married,none,2,real_estate,27,none,own,1,unemployed_unskilled,1,none,no,good,Vehicles
0_200,36,existing_paid,4795,less_100,less_1,4,female_divorced_separated_married,none,1,unknown_no_property,30,none,own,1,management_self_employed_highly_qualified,1,yes,yes,good,Home
less_0,27,existing_paid,3416,less_100,1_4,3,male_single,none,2,car_or_other,27,none,own,1,management_self_employed_highly_qualified,1,none,yes,good,Home
less_0,18,existing_paid,2462,less_100,1_4,2,male_single,none,2,car_or_other,22,none,own,1,skilled_official,1,none,yes,bad,Home
no_account,21,critical_other,2288,less_100,less_1,4,female_divorced_separated_married,none,4,building_society_savings_life_insurance,23,none,own,1,skilled_official,1,yes,yes,good,Home
0_200,48,all_paid,3566,100_500,4_7,4,male_single,none,2,car_or_other,30,none,own,1,skilled_official,1,none,yes,good,Investment/Development
less_0,6,critical_other,860,less_100,greater_7,1,female_divorced_separated_married,none,4,unknown_no_property,39,none,own,2,skilled_official,1,yes,yes,good,Vehicles
no_account,12,critical_other,682,100_500,4_7,4,female_divorced_separated_married,none,3,car_or_other,51,none,own,2,skilled_official,1,yes,yes,good,Vehicles
less_0,36,critical_other,5371,less_100,1_4,3,male_single,guarantor,2,building_society_savings_life_insurance,28,none,own,2,skilled_official,1,none,yes,good,Home
no_account,18,critical_other,1582,greater_1000,greater_7,4,male_single,none,4,car_or_other,46,none,own,2,skilled_official,1,none,yes,good,Home
no_account,6,existing_paid,1346,100_500,greater_7,2,male_single,none,4,unknown_no_property,42,bank,for_free,1,skilled_official,2,yes,yes,good,Home
no_account,10,existing_paid,1924,less_100,1_4,1,male_single,none,4,building_society_savings_life_insurance,38,none,own,1,skilled_official,1,yes,no,good,Home
greater_200,36,existing_paid,5848,less_100,1_4,4,male_single,none,1,car_or_other,24,none,own,1,skilled_official,1,none,yes,good,Home
0_200,24,critical_other,7758,greater_1000,greater_7,2,female_divorced_separated_married,none,4,unknown_no_property,29,none,rent,1,skilled_official,1,none,yes,good,Vehicles
0_200,24,delay,6967,100_500,4_7,4,male_single,none,4,car_or_other,36,none,rent,1,management_self_employed_highly_qualified,1,yes,yes,good,Investment/Development
less_0,12,existing_paid,1282,less_100,1_4,2,female_divorced_separated_married,none,4,car_or_other,20,none,rent,1,skilled_official,1,none,yes,bad,Home
less_0,9,critical_other,1288,100_500,greater_7,3,male_single,guarantor,4,real_estate,48,none,own,2,skilled_official,2,none,no,good,Home
less_0,12,all_paid,339,less_100,greater_7,4,male_married,none,1,car_or_other,45,bank,own,1,unskilled_resident,1,none,yes,good,Investment/Development
0_200,24,existing_paid,3512,100_500,4_7,2,male_single,none,3,car_or_other,38,bank,own,2,skilled_official,1,yes,yes,good,Vehicles
no_account,6,critical_other,1898,unknown,1_4,1,male_single,none,2,real_estate,34,none,own,2,unskilled_resident,2,none,yes,good,Home
no_account,24,critical_other,2872,100_500,greater_7,3,male_single,none,4,real_estate,36,none,own,1,skilled_official,2,yes,yes,good,Home
no_account,18,critical_other,1055,less_100,less_1,4,female_divorced_separated_married,none,1,building_society_savings_life_insurance,30,none,own,2,skilled_official,1,none,yes,good,Vehicles
no_account,15,existing_paid,1262,500_1000,4_7,4,male_single,none,3,building_society_savings_life_insurance,36,none,own,2,skilled_official,1,yes,yes,good,Home
0_200,10,existing_paid,7308,less_100,unemployed,2,male_single,none,4,unknown_no_property,70,bank,for_free,1,management_self_employed_highly_qualified,1,yes,yes,good,Vehicles
no_account,36,existing_paid,909,500_1000,greater_7,4,male_single,none,4,building_society_savings_life_insurance,36,none,own,1,skilled_official,1,none,yes,good,Vehicles
no_account,6,existing_paid,2978,500_1000,1_4,1,male_single,none,2,car_or_other,32,none,own,1,skilled_official,1,yes,yes,good,Home
less_0,18,existing_paid,1131,less_100,unemployed,4,female_divorced_separated_married,none,2,car_or_other,33,none,own,1,skilled_official,1,none,yes,bad,Home
0_200,11,existing_paid,1577,greater_1000,less_1,4,female_divorced_separated_married,none,1,real_estate,20,none,own,1,skilled_official,1,none,yes,good,Home
no_account,24,existing_paid,3972,less_100,4_7,2,female_divorced_separated_married,none,4,building_society_savings_life_insurance,25,none,rent,1,skilled_official,1,yes,yes,good,Home
0_200,24,critical_other,1935,less_100,greater_7,4,male_divorced_separated,none,4,real_estate,31,none,own,2,skilled_official,1,yes,yes,bad,Investment/Development
less_0,15,no_credit_all_paid,950,less_100,greater_7,4,male_single,none,3,car_or_other,33,none,rent,2,skilled_official,2,none,yes,bad,Vehicles
no_account,12,existing_paid,763,less_100,1_4,4,female_divorced_separated_married,none,1,real_estate,26,none,own,1,skilled_official,1,yes,yes,good,Home
0_200,24,delay,2064,less_100,unemployed,3,female_divorced_separated_married,none,2,building_society_savings_life_insurance,34,none,own,1,management_self_employed_highly_qualified,1,yes,yes,bad,Home
0_200,8,existing_paid,1414,less_100,1_4,4,male_single,guarantor,2,real_estate,33,none,own,1,skilled_official,1,none,no,good,Home
less_0,21,delay,3414,less_100,less_1,2,male_single,none,1,building_society_savings_life_insurance,26,none,own,2,skilled_official,1,none,yes,bad,Investment/Development
no_account,30,all_paid,7485,unknown,unemployed,4,female_divorced_separated_married,none,1,real_estate,53,bank,own,1,management_self_employed_highly_qualified,1,yes,yes,bad,Vehicles
less_0,12,existing_paid,2577,less_100,1_4,2,male_divorced_separated,none,1,car_or_other,42,none,own,1,skilled_official,1,none,yes,good,Home
less_0,6,critical_other,338,500_1000,greater_7,4,male_single,none,4,car_or_other,52,none,own,2,skilled_official,1,none,yes,good,Home
no_account,12,existing_paid,1963,less_100,4_7,4,male_single,none,2,car_or_other,31,none,rent,2,management_self_employed_highly_qualified,2,yes,yes,good,Home
less_0,21,critical_other,571,less_100,greater_7,4,male_single,none,4,real_estate,65,none,own,2,skilled_official,1,none,yes,good,Vehicles
no_account,36,delay,9572,less_100,less_1,1,male_divorced_separated,none,1,car_or_other,28,none,own,2,skilled_official,1,none,yes,bad,Investment/Development
0_200,36,delay,4455,less_100,1_4,2,male_divorced_separated,none,2,real_estate,30,stores,own,2,management_self_employed_highly_qualified,1,yes,yes,bad,Investment/Development
less_0,21,all_paid,1647,unknown,1_4,4,male_single,none,2,building_society_savings_life_insurance,40,none,own,2,unskilled_resident,2,none,yes,bad,Vehicles
no_account,24,critical_other,3777,greater_1000,1_4,4,male_single,none,4,real_estate,50,none,own,1,skilled_official,1,yes,yes,good,Home
0_200,18,critical_other,884,less_100,greater_7,4,male_single,none,4,car_or_other,36,bank,own,1,skilled_official,2,yes,yes,bad,Vehicles
no_account,15,critical_other,1360,less_100,1_4,4,male_single,none,2,building_society_savings_life_insurance,31,none,own,2,skilled_official,1,none,yes,good,Home
0_200,9,all_paid,5129,less_100,greater_7,2,female_divorced_separated_married,none,4,unknown_no_property,74,bank,for_free,1,management_self_employed_highly_qualified,2,yes,yes,bad,Vehicles
